city_id,language_code,name
valletta,hr,Valletta
valletta,hu,Valletta
valletta,it,La Valletta
valletta,lt,Valeta
valletta,lv,Valeta
valletta,mt,Valletta
valletta,nl,Valletta
valletta,pl,Valletta
valletta,pt,Valeta
valletta,ro,Valletta
valletta,sk,Valletta
valletta,sl,Valletta
valletta,sv,Valletta
warsaw,bg,Варшава
warsaw,cs,Varšava
warsaw,da,Warszawa
warsaw,de,Warschau
warsaw,el,Βαρσοβία
warsaw,en,Warsaw
warsaw,es,Varsovia
warsaw,et,Varssavi
warsaw,fi,Varsova
warsaw,fr,Varsovie
warsaw,ga,Vársá
warsaw,hr,Varšava
warsaw,hu,Varsó
warsaw,it,Varsavia
warsaw,lt,Varšuva
warsaw,lv,Varšava
warsaw,mt,Varsavja
warsaw,nl,Warschau
warsaw,pl,Warszawa
warsaw,pt,Varsóvia
warsaw,ro,Varșovia
warsaw,sk,Varšava
warsaw,sl,Varšava
warsaw,sv,Warszawa
vienna,bg,Виена
vienna,cs,Vídeň
vienna,da,Wien
vienna,de,Wien
vienna,el,Βιέννη
vienna,en,Vienna
vienna,es,Viena
vienna,et,Viin
vienna,fi,Wien
vienna,fr,Vienne
vienna,ga,Vín
vienna,hr,Beč
vienna,hu,Bécs
vienna,it,Vienna
vienna,lt,Viena
vienna,lv,Vīne
vienna,mt,Vjenna
vienna,nl,Wenen
vienna,pl,Wiedeń
vienna,pt,Viena
vienna,ro,Viena
vienna,sk,Viedeň
vienna,sl,Dunaj
vienna,sv,Wien
vilnius,bg,Вилнюс
vilnius,cs,Vilnius
vilnius,da,Vilnius
vilnius,de,Wilna (Vilnius)
vilnius,el,Βίλνιους
vilnius,en,Vilnius
vilnius,es,Vilna
vilnius,et,Vilnius
vilnius,fi,Vilna
vilnius,fr,Vilnius
vilnius,ga,Vilnias
vilnius,hr,Vilnius
vilnius,hu,Vilnius
vilnius,it,Vilnius
vilnius,lt,Vilnius
vilnius,lv,Viļņa
vilnius,mt,Vilnjus
vilnius,nl,Vilnius
vilnius,pl,Wilno
vilnius,pt,Vilnius
vilnius,ro,Vilnius
vilnius,sk,Vilnius
vilnius,sl,Vilna
vilnius,sv,Vilnius
zagreb,bg,Загреб
zagreb,cs,Záhřeb
zagreb,da,Zagreb
zagreb,de,Zagreb
zagreb,el,Ζάγκρεμπ
zagreb,en,Zagreb
zagreb,es,Zagreb
zagreb,et,Zagreb
zagreb,fi,Zagreb
zagreb,fr,Zagreb
zagreb,ga,Ságrab
zagreb,hr,Zagreb
zagreb,hu,Zágráb
zagreb,it,Zagabria
zagreb,lt,Zagrebas
zagreb,lv,Zagreba
zagreb,mt,Żagreb
zagreb,nl,Zagreb
zagreb,pl,Zagrzeb
zagreb,pt,Zagrebe
zagreb,ro,Zagreb
zagreb,sk,Záhreb
zagreb,sl,Zagreb
zagreb,sv,Zagreb
